Trial,Seed,Policy,Route_Index,Route_Name,Available,Hop_Count,Contact_Probability,Optical_Packet_Success_Lower_Bound,Physical_End_To_End_Success_Lower_Bound,PAT_s,Propagation_s,Policy_Score,Selected
9,100008,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.740073733,1,0.740073733,120,733.1224492,0.991957844,0
9,100008,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.860275382,1,0.860275382,60,727.2265642,0.860275382,1
9,100008,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.740073733,1,0.740073733,120,826.4133436,0.740073733,0
9,100008,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.740073733,1,0.740073733,120,1137.099706,0.740073733,0
9,100008,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.740073733,1,0.740073733,120,733.1224492,0.740073733,0
9,100008,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.860275382,1,0.860275382,60,727.2265642,0.860275382,1
9,100008,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.740073733,1,0.740073733,120,826.4133436,0.740073733,0
9,100008,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.740073733,1,0.740073733,120,1137.099706,0.740073733,0
9,100008,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.740073733,1,0.740073733,120,733.1224492,0.740073733,0
9,100008,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.860275382,1,0.860275382,60,727.2265642,0.860275382,1
9,100008,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.740073733,1,0.740073733,120,826.4133436,0.325624751,0
9,100008,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.740073733,1,0.740073733,120,1137.099706,0.236655271,0
9,100008,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.740073733,1,0.740073733,120,733.1224492,0.367060972,0
10,100009,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.993484236,1,0.993484236,60,757.3031878,1,1
10,100009,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.987010927,1,0.987010927,120,859.525781,0.88107094,0
10,100009,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.987010927,1,0.987010927,120,1157.565746,0.654220454,0
10,100009,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.987010927,1,0.987010927,120,763.2392901,0.992222489,0
10,100009,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.993484236,1,0.993484236,60,757.3031878,0.993484236,1
10,100009,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.987010927,1,0.987010927,120,859.525781,0.987010927,0
10,100009,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.987010927,1,0.987010927,120,1157.565746,0.987010927,0
10,100009,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.987010927,1,0.987010927,120,763.2392901,0.987010927,0
10,100009,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.993484236,1,0.993484236,60,757.3031878,0.993484236,1
10,100009,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.987010927,1,0.987010927,120,859.525781,0.987010927,0
10,100009,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.987010927,1,0.987010927,120,1157.565746,0.987010927,0
10,100009,B3_Physical_Success,3,Earth_Relay2_Mars,1,2,0.987010927,1,0.987010927,120,763.2392901,0.987010927,0
10,100009,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,1,1,0.993484236,1,0.993484236,60,757.3031878,0.993484236,1
10,100009,B4_Physical_Multiobjective,1,Earth_Relay0_Mars,1,2,0.987010927,1,0.987010927,120,859.525781,0.434813323,0
10,100009,B4_Physical_Multiobjective,2,Earth_Relay1_Mars,1,2,0.987010927,1,0.987010927,120,1157.565746,0.322861368,0
10,100009,B4_Physical_Multiobjective,3,Earth_Relay2_Mars,1,2,0.987010927,1,0.987010927,120,763.2392901,0.489667219,0
11,100010,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,1,0.831399009,1,0.831399009,60,564.9856648,1,1
11,100010,B1_Shortest_Delay,1,Earth_Relay0_Mars,1,2,0.691224313,1,0.691224313,120,661.549882,0.854033354,0
11,100010,B1_Shortest_Delay,2,Earth_Relay1_Mars,1,2,0.691224313,1,0.691224313,120,1023.158578,0.552197555,0
11,100010,B1_Shortest_Delay,3,Earth_Relay2_Mars,1,2,0.691224313,1,0.691224313,120,570.6900436,0.990004418,0
11,100010,B2_Contact_Aware,0,Direct_Earth_to_Mars,1,1,0.831399009,1,0.831399009,60,564.9856648,0.831399009,1
11,100010,B2_Contact_Aware,1,Earth_Relay0_Mars,1,2,0.691224313,1,0.691224313,120,661.549882,0.691224313,0
11,100010,B2_Contact_Aware,2,Earth_Relay1_Mars,1,2,0.691224313,1,0.691224313,120,1023.158578,0.691224313,0
11,100010,B2_Contact_Aware,3,Earth_Relay2_Mars,1,2,0.691224313,1,0.691224313,120,570.6900436,0.691224313,0
11,100010,B3_Physical_Success,0,Direct_Earth_to_Mars,1,1,0.831399009,1,0.831399009,60,564.9856648,0.831399009,1
11,100010,B3_Physical_Success,1,Earth_Relay0_Mars,1,2,0.691224313,1,0.691224313,120,661.549882,0.691224313,0
11,100010,B3_Physical_Success,2,Earth_Relay1_Mars,1,2,0.691224313,1,0.691224313,120,1023.158578,0.691224313,0
