Trial,Seed,Dominating_Route,Dominated_Route
58,100057,Earth_Relay1_Mars,Earth_Relay0_Mars
58,100057,Earth_Relay2_Mars,Earth_Relay0_Mars
58,100057,Earth_Relay2_Mars,Earth_Relay1_Mars
59,100058,Direct_Earth_to_Mars,Earth_Relay0_Mars
59,100058,Direct_Earth_to_Mars,Earth_Relay1_Mars
59,100058,Direct_Earth_to_Mars,Earth_Relay2_Mars
59,100058,Earth_Relay0_Mars,Earth_Relay1_Mars
59,100058,Earth_Relay2_Mars,Earth_Relay0_Mars
59,100058,Earth_Relay2_Mars,Earth_Relay1_Mars
60,100059,Direct_Earth_to_Mars,Earth_Relay0_Mars
60,100059,Direct_Earth_to_Mars,Earth_Relay1_Mars
60,100059,Direct_Earth_to_Mars,Earth_Relay2_Mars
60,100059,Earth_Relay1_Mars,Earth_Relay0_Mars
60,100059,Earth_Relay2_Mars,Earth_Relay0_Mars
61,100060,Direct_Earth_to_Mars,Earth_Relay1_Mars
61,100060,Direct_Earth_to_Mars,Earth_Relay2_Mars
62,100061,Direct_Earth_to_Mars,Earth_Relay0_Mars
62,100061,Direct_Earth_to_Mars,Earth_Relay1_Mars
62,100061,Direct_Earth_to_Mars,Earth_Relay2_Mars
62,100061,Earth_Relay0_Mars,Earth_Relay1_Mars
63,100062,Direct_Earth_to_Mars,Earth_Relay0_Mars
63,100062,Direct_Earth_to_Mars,Earth_Relay1_Mars
63,100062,Direct_Earth_to_Mars,Earth_Relay2_Mars
63,100062,Earth_Relay0_Mars,Earth_Relay1_Mars
63,100062,Earth_Relay2_Mars,Earth_Relay0_Mars
63,100062,Earth_Relay2_Mars,Earth_Relay1_Mars
64,100063,Direct_Earth_to_Mars,Earth_Relay0_Mars
64,100063,Direct_Earth_to_Mars,Earth_Relay1_Mars
64,100063,Direct_Earth_to_Mars,Earth_Relay2_Mars
64,100063,Earth_Relay0_Mars,Earth_Relay1_Mars
64,100063,Earth_Relay2_Mars,Earth_Relay1_Mars
65,100064,Direct_Earth_to_Mars,Earth_Relay0_Mars
65,100064,Direct_Earth_to_Mars,Earth_Relay1_Mars
65,100064,Direct_Earth_to_Mars,Earth_Relay2_Mars
65,100064,Earth_Relay1_Mars,Earth_Relay0_Mars
65,100064,Earth_Relay2_Mars,Earth_Relay0_Mars
66,100065,Direct_Earth_to_Mars,Earth_Relay0_Mars
66,100065,Direct_Earth_to_Mars,Earth_Relay1_Mars
66,100065,Direct_Earth_to_Mars,Earth_Relay2_Mars
66,100065,Earth_Relay0_Mars,Earth_Relay1_Mars
66,100065,Earth_Relay2_Mars,Earth_Relay1_Mars
67,100066,Direct_Earth_to_Mars,Earth_Relay0_Mars
67,100066,Direct_Earth_to_Mars,Earth_Relay2_Mars
