Trial,Seed,Policy,Selected_Route_Index,Selected_Route_Name,Selected_Score,Selected_Physical_Success_Lower_Bound
49,100048,B3_Physical_Success,0,Direct_Earth_to_Mars,0.86857509200266492,0.86857509200266492
49,100048,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.86857509200266492,0.86857509200266492
50,100049,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.94093053725118025
50,100049,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.94093760295645379,0.94093053725118025
50,100049,B3_Physical_Success,0,Direct_Earth_to_Mars,0.94093053725118025,0.94093053725118025
50,100049,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.94093053725118025,0.94093053725118025
51,100050,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.90696447405298086
51,100050,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.90696447405298086,0.90696447405298086
51,100050,B3_Physical_Success,0,Direct_Earth_to_Mars,0.90696447405298086,0.90696447405298086
51,100050,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.90696447405298086,0.90696447405298086
52,100051,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.98564280687577621
52,100051,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.98564280690479644,0.98564280687577621
52,100051,B3_Physical_Success,0,Direct_Earth_to_Mars,0.98564280687577621,0.98564280687577621
52,100051,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.98564280687577621,0.98564280687577621
53,100052,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.92544129961344457
53,100052,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.92544129961344457,0.92544129961344457
53,100052,B3_Physical_Success,0,Direct_Earth_to_Mars,0.92544129961344457,0.92544129961344457
53,100052,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.92544129961344457,0.92544129961344457
54,100053,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.82742712359376869
54,100053,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.82743368075005241,0.82742712359376869
54,100053,B3_Physical_Success,0,Direct_Earth_to_Mars,0.82742712359376869,0.82742712359376869
54,100053,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.82742712359376869,0.82742712359376869
55,100054,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.91284612462321213
55,100054,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.91284612462321213,0.91284612462321213
55,100054,B3_Physical_Success,0,Direct_Earth_to_Mars,0.91284612462321213,0.91284612462321213
55,100054,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.91284612462321213,0.91284612462321213
56,100055,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.80588279654952977
56,100055,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.80588279654952977,0.80588279654952977
56,100055,B3_Physical_Success,0,Direct_Earth_to_Mars,0.80588279654952977,0.80588279654952977
56,100055,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.80588279654952977,0.80588279654952977
57,100056,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.90403549490050072
57,100056,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.90403549490050072,0.90403549490050072
57,100056,B3_Physical_Success,0,Direct_Earth_to_Mars,0.90403549490050072,0.90403549490050072
57,100056,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.90403549490050072,0.90403549490050072
58,100057,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.88526196772714216
58,100057,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.88526196772714216,0.88526196772714216
58,100057,B3_Physical_Success,0,Direct_Earth_to_Mars,0.88526196772714216,0.88526196772714216
58,100057,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.88526196772714216,0.88526196772714216
59,100058,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.94913078067123302
59,100058,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.94913078067123302,0.94913078067123302
59,100058,B3_Physical_Success,0,Direct_Earth_to_Mars,0.94913078067123302,0.94913078067123302
59,100058,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.94913078067123302,0.94913078067123302
60,100059,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.89365583294041973
60,100059,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.89366805524853343,0.89365583294041973
60,100059,B3_Physical_Success,0,Direct_Earth_to_Mars,0.89365583294041973,0.89365583294041973
60,100059,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.89365583294041973,0.89365583294041973
61,100060,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.88122715054081446
61,100060,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.88135361594641237,0.88122715054081446
61,100060,B3_Physical_Success,0,Direct_Earth_to_Mars,0.88122715054081446,0.88122715054081446
61,100060,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.88122715054081446,0.88122715054081446
62,100061,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.80947127906126026
62,100061,B2_Contact_Aware,0,Direct_Earth_to_Mars,0.80947413765755172,0.80947127906126026
62,100061,B3_Physical_Success,0,Direct_Earth_to_Mars,0.80947127906126026,0.80947127906126026
62,100061,B4_Physical_Multiobjective,0,Direct_Earth_to_Mars,0.80947127906126026,0.80947127906126026
63,100062,B1_Shortest_Delay,0,Direct_Earth_to_Mars,1,0.91627586379561543
