Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
38,100037,B4,200,150,0,50,50,0,0.75,153600,1349.3887833563419
39,100038,B1,200,181,0,19,19,0,0.90500000000000003,185344,323.14090447048318
39,100038,B2,200,181,0,19,19,0,0.90500000000000003,185344,323.14090447048318
39,100038,B3,200,181,0,19,19,0,0.90500000000000003,185344,323.14090447048318
39,100038,B4,200,181,0,19,19,0,0.90500000000000003,185344,323.14090447048318
4,100003,B1,200,194,0,6,6,0,0.96999999999999997,198656,1057.4243111254382
4,100003,B2,200,194,0,6,6,0,0.96999999999999997,198656,1057.4243111254382
4,100003,B3,200,194,0,6,6,0,0.96999999999999997,198656,1057.4243111254382
4,100003,B4,200,194,0,6,6,0,0.96999999999999997,198656,1057.4243111254382
40,100039,B1,200,167,0,33,33,0,0.83499999999999996,171008,1079.3274664660958
40,100039,B2,200,167,0,33,33,0,0.83499999999999996,171008,1079.3274664660958
40,100039,B3,200,167,0,33,33,0,0.83499999999999996,171008,1079.3274664660958
40,100039,B4,200,167,0,33,33,0,0.83499999999999996,171008,1079.3274664660958
41,100040,B1,200,174,0,26,26,0,0.87,178176,1353.3347947143754
41,100040,B2,200,174,0,26,26,0,0.87,178176,1353.3347947143754
41,100040,B3,200,174,0,26,26,0,0.87,178176,1353.3347947143754
41,100040,B4,200,174,0,26,26,0,0.87,178176,1353.3347947143754
42,100041,B1,200,181,0,19,19,0,0.90500000000000003,185344,1298.0227062004267
42,100041,B2,200,181,0,19,19,0,0.90500000000000003,185344,1298.0227062004267
42,100041,B3,200,181,0,19,19,0,0.90500000000000003,185344,1298.0227062004267
42,100041,B4,200,181,0,19,19,0,0.90500000000000003,185344,1298.0227062004267
43,100042,B1,200,183,0,17,17,0,0.91500000000000004,187392,1364.8308421635591
43,100042,B2,200,183,0,17,17,0,0.91500000000000004,187392,1364.8308421635591
43,100042,B3,200,183,0,17,17,0,0.91500000000000004,187392,1364.8308421635591
43,100042,B4,200,183,0,17,17,0,0.91500000000000004,187392,1364.8308421635591
44,100043,B1,200,193,0,7,7,0,0.96499999999999997,197632,1343.0166333846632
44,100043,B2,200,193,0,7,7,0,0.96499999999999997,197632,1343.0166333846632
44,100043,B3,200,193,0,7,7,0,0.96499999999999997,197632,1343.0166333846632
44,100043,B4,200,193,0,7,7,0,0.96499999999999997,197632,1343.0166333846632
45,100044,B1,200,175,0,25,25,0,0.875,179200,905.61288227991929
45,100044,B2,200,175,0,25,25,0,0.875,179200,905.61288227991929
45,100044,B3,200,175,0,25,25,0,0.875,179200,905.61288227991929
45,100044,B4,200,175,0,25,25,0,0.875,179200,905.61288227991929
46,100045,B1,200,192,0,8,8,0,0.95999999999999996,196608,1364.3629795303511
46,100045,B2,200,192,0,8,8,0,0.95999999999999996,196608,1364.3629795303511
46,100045,B3,200,192,0,8,8,0,0.95999999999999996,196608,1364.3629795303511
46,100045,B4,200,192,0,8,8,0,0.95999999999999996,196608,1364.3629795303511
47,100046,B1,200,175,0,25,25,0,0.875,179200,1054.717068437749
47,100046,B2,200,175,0,25,25,0,0.875,179200,1054.717068437749
47,100046,B3,200,175,0,25,25,0,0.875,179200,1054.717068437749
47,100046,B4,200,175,0,25,25,0,0.875,179200,1054.717068437749
48,100047,B1,200,186,0,14,14,0,0.93000000000000005,190464,1367.4702192765239
48,100047,B2,200,186,0,14,14,0,0.93000000000000005,190464,1367.4702192765239
48,100047,B3,200,186,0,14,14,0,0.93000000000000005,190464,1367.4702192765239
48,100047,B4,200,186,0,14,14,0,0.93000000000000005,190464,1367.4702192765239
49,100048,B1,200,172,0,28,28,0,0.85999999999999999,176128,1193.944295080988
49,100048,B2,200,172,0,28,28,0,0.85999999999999999,176128,1193.944295080988
49,100048,B3,200,172,0,28,28,0,0.85999999999999999,176128,1193.944295080988
49,100048,B4,200,172,0,28,28,0,0.85999999999999999,176128,1193.944295080988
5,100004,B1,200,174,0,26,26,0,0.87,178176,444.68053992136305
5,100004,B2,200,174,0,26,26,0,0.87,178176,444.68053992136305
5,100004,B3,200,174,0,26,26,0,0.87,178176,444.68053992136305
5,100004,B4,200,174,0,26,26,0,0.87,178176,444.68053992136305
50,100049,B1,200,192,0,8,8,0,0.95999999999999996,196608,1332.7504772336749
50,100049,B2,200,192,0,8,8,0,0.95999999999999996,196608,1332.7504772336749
50,100049,B3,200,192,0,8,8,0,0.95999999999999996,196608,1332.7504772336749
50,100049,B4,200,192,0,8,8,0,0.95999999999999996,196608,1332.7504772336749
51,100050,B1,200,184,0,16,16,0,0.92000000000000004,188416,595.05759850775928
51,100050,B2,200,184,0,16,16,0,0.92000000000000004,188416,595.05759850775928
51,100050,B3,200,184,0,16,16,0,0.92000000000000004,188416,595.05759850775928
51,100050,B4,200,184,0,16,16,0,0.92000000000000004,188416,595.05759850775928
