Trial,Seed,Scenario,Policy,Selected_Route,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
102,1000101,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,132,0,68,24,44,0.66000000000000003,135168,736.03618416838674
102,1000101,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
102,1000101,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,176,0,24,24,0,0.88,180224,736.03618416838799
103,1000102,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Control,B2_Contact_Aware,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Control,B3_Physical_Success,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
103,1000102,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,200,187,0,13,13,0,0.93500000000000005,191488,308.53994999459781
