Scenario,Reference_Policy,Comparator_Policy,Comparison_Role,Metric,Higher_Is_Better,N,Reference_Mean,Comparator_Mean,Mean_Paired_Difference,Median_Paired_Difference,SD_Paired_Difference,CI95_Lower,CI95_Upper,Percent_Change_From_Reference,Cohens_Dz,Paired_T,Paired_T_P_Value,Preferred_Wins,Preferred_Losses,Ties,Exact_Sign_Test_P_Value,Significant_At_0_05,Direction
Direct_Pointing_25pct_Power,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Optical_Failures,0,1000,94.768000000000001,1.7190000000000001,-93.049000000000007,-158,90.308516914116041,-98.653062455154895,-87.444937544845118,-98.186096572682771,-1.0303457877454703,-32.582394668360912,3.0722537438797094e-159,518,0,482,2.3307314785000646e-156,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Reliability,1,1000,0.32249499999999992,0.32249499999999992,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Packets,1,1000,64.498999999999995,64.498999999999995,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Delivered_Bits,1,1000,66046.975999999995,66046.975999999995,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Mean_Delivered_Latency_s,0,380,483.39086917624502,483.39086917624502,0,0,0,0,0,0,0,0,1,0,0,380,1,0,No_Change
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,20.309999999999999,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B2_Contact_Aware,Secondary_Ablation,Optical_Failures,0,1000,115.191,115.191,0,0,0,0,0,0,0,0,1,0,0,1000,1,0,No_Change
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Reliability,1,1000,0.32249499999999992,0.66118499999999969,0.33868999999999977,0,0.40295298113427974,0.31368489804582983,0.36369510195416971,105.02178328346172,0.84051990146993094,26.579573073452902,3.7083590723954238e-118,437,2,561,1.3606724668645693e-127,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Packets,1,1000,64.498999999999995,132.23699999999999,67.738,0,80.590596226856405,62.736979609165985,72.739020390834014,105.02178328346177,0.84051990146992683,26.579573073452767,3.7083590724028246e-118,437,2,561,1.3606724668645693e-127,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Delivered_Bits,1,1000,66046.975999999995,135410.68799999999,69363.712,0,82524.770536300959,64242.667119785969,74484.75688021403,105.02178328346177,0.84051990146992683,26.579573073452767,3.7083590724028246e-118,437,2,561,1.3606724668645693e-127,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Mean_Delivered_Latency_s,0,380,483.39086917624502,507.80366497434591,24.412795798101076,0,81.294125828653975,16.229247995865819,32.596343600336333,5.0503220798736548,0.30030208885641557,5.8539654028000596,1.0404516046549029e-08,0,40,340,1.8189894035458565e-12,1,Comparator_Worse
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Contact_Failures,0,1000,20.309999999999999,31.701000000000001,11.391,9,11.423423900635647,10.682123548715207,12.099876451284793,56.085672082717871,0.99716163026797566,31.533019469735002,4.9618559826222316e-152,0,643,357,5.4795233725210076e-194,1,Comparator_Worse
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B3_Physical_Success,Secondary_Ablation,Optical_Failures,0,1000,115.191,0.27400000000000002,-114.917,-168,85.924729677608823,-120.24902811882689,-109.58497188117312,-99.762134194511731,-1.3374147399842946,-42.292767546322366,7.6282718382571564e-225,659,0,341,8.3610891304336664e-199,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Reliability,1,1000,0.32249499999999992,0.8217100000000005,0.49921500000000008,0.70499999999999996,0.40363861672033835,0.47416735117675241,0.52426264882324769,154.79774880230707,1.2367870152173324,39.110639486080998,1.1262520336090352e-203,616,0,384,7.3544917758266727e-186,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Packets,1,1000,64.498999999999995,164.34200000000001,99.843000000000004,141,80.727723344067755,94.833470235350461,104.85252976464955,154.79774880230704,1.2367870152173308,39.110639486080949,1.1262520336098043e-203,616,0,384,7.3544917758266727e-186,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Delivered_Bits,1,1000,66046.975999999995,168286.20800000001,102239.232,144384,82665.188704325381,97109.473520998872,107368.99047900114,154.79774880230704,1.2367870152173308,39.110639486080949,1.1262520336098043e-203,616,0,384,7.3544917758266727e-186,1,Comparator_Better
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Mean_Delivered_Latency_s,0,380,483.39086917624502,487.43154918450699,4.0406800082619432,0,29.20051165535606,1.1011836972368996,6.9801763192869863,0.8359032546782974,0.13837702763406159,2.6974648607902902,0.0072990448963149183,0,14,366,0.0001220703125,1,Comparator_Worse
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Contact_Failures,0,1000,20.309999999999999,31.207000000000001,10.897,8,11.400981246075874,10.189516219551914,11.604483780448087,53.653372722796661,0.95579492368261365,30.224889348638701,4.787107004313238e-143,0,617,383,3.6772458879133364e-186,1,Comparator_Worse
Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,B4_Physical_Multiobjective,Primary,Optical_Failures,0,1000,115.191,1.629,-113.562,-168,87.191263739393875,-118.97262243336506,-108.15137756663493,-98.585827017735753,-1.3024470013351988,-41.186990558755944,1.5544025190133783e-217,633,0,367,5.6110319334615118e-191,1,Comparator_Better
