Trial,Seed,Scenario,B1_Route,B4_Route,B1_Reliability,B4_Reliability,Reliability_Difference,B1_Delivered_Bits,B4_Delivered_Bits,Delivered_Bits_Difference,B1_Mean_Latency_s,B4_Mean_Latency_s,Latency_Difference_s,B1_Contact_Failures,B4_Contact_Failures,Contact_Failure_Difference,B1_Optical_Failures,B4_Optical_Failures,Optical_Failure_Difference
17,1000016,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.95999999999999996,0.95999999999999996,0,196608,196608,0,473.11565832830223,473.11565832830223,0,8,8,0,0,0,0
17,1000016,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.95999999999999996,0.95999999999999996,0,196608,196608,0,473.11565832830223,473.11565832830223,0,8,8,0,0,0,0
18,1000017,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,515.86527828345925,515.86527828345925,0,16,16,0,0,0,0
18,1000017,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,515.86527828345925,515.86527828345925,0,16,16,0,0,0,0
18,1000017,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,515.86527828345925,515.86527828345925,0,16,16,0,0,0,0
18,1000017,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.92000000000000004,0.92000000000000004,0,188416,188416,0,515.86527828345925,515.86527828345925,0,16,16,0,0,0,0
19,1000018,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85999999999999999,0.85999999999999999,0,176128,176128,0,345.76605440347379,345.76605440347379,0,28,28,0,0,0,0
19,1000018,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85999999999999999,0.85999999999999999,0,176128,176128,0,345.76605440347379,345.76605440347379,0,28,28,0,0,0,0
19,1000018,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85999999999999999,0.85999999999999999,0,176128,176128,0,345.76605440347379,345.76605440347379,0,28,28,0,0,0,0
19,1000018,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85999999999999999,0.85999999999999999,0,176128,176128,0,345.76605440347379,345.76605440347379,0,28,28,0,0,0,0
20,1000019,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,1058.0171027494366,1058.0171027494366,0,29,29,0,0,0,0
20,1000019,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,1058.0171027494366,1058.0171027494366,0,29,29,0,0,0,0
20,1000019,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.72499999999999998,0.72499999999999998,0,148480,148480,0,1124.3215240873578,1124.3215240873578,29,55,26,171,0,-171
20,1000019,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.72499999999999998,0.72499999999999998,0,148480,148480,0,1124.3215240873578,1124.3215240873578,29,55,26,171,0,-171
21,1000020,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,540.48155017155318,540.48155017155318,0,26,26,0,0,0,0
21,1000020,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,540.48155017155318,540.48155017155318,0,26,26,0,0,0,0
21,1000020,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,540.48155017155318,540.48155017155318,0,26,26,0,0,0,0
21,1000020,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.87,0.87,0,178176,178176,0,540.48155017155318,540.48155017155318,0,26,26,0,0,0,0
22,1000021,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,728.56670840273625,728.56670840273625,0,35,35,0,0,0,0
22,1000021,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,728.56670840273625,728.56670840273625,0,35,35,0,0,0,0
22,1000021,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.82499999999999996,0.82499999999999996,0,168960,168960,0,728.56670840273625,728.56670840273625,0,35,35,0,0,0,0
22,1000021,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.44,0.44,0,90112,90112,0,728.56670840273546,728.56670840273546,0,35,35,0,77,77,0
23,1000022,Control,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,881.38762389961551,881.38762389961551,0,29,29,0,0,0,0
23,1000022,Direct_Background_16,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.85499999999999998,0.85499999999999998,0,175104,175104,0,881.38762389961551,881.38762389961551,0,29,29,0,0,0,0
23,1000022,Direct_Pointing_25pct_Power,Direct_Earth_to_Mars,Direct_Earth_to_Mars,0.79500000000000004,0.79500000000000004,0,162816,162816,0,881.38762389961539,881.38762389961539,0,29,29,0,12,12,0
23,1000022,Direct_Combined_25pctPower_BG16,Direct_Earth_to_Mars,Earth_Relay2_Mars,0,0.73499999999999999,0.73499999999999999,0,150528,150528,0,947.4629932002855,947.4629932002855,29,53,24,171,0,-171
