Trial,Seed,Scenario,Policy,Selected_Route,Selected_Score,Selected_Physical_Success_Lower,Switched_From_Direct
5,100004,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063,0
5,100004,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445063,0
5,100004,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.85884219693445041,0
5,100004,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.85884219693445063,0.85884219693445041,0
5,100004,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,0.85884219693445041,0.85884219693445041,0
5,100004,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.85884219693445041,0.85884219693445041,0
5,100004,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.7376099192351937,1
5,100004,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.7376099192351937,0.7376099192351937,1
5,100004,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay0_Mars,0.7376099192351937,0.7376099192351937,1
5,100004,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.7376099192351937,0.7376099192351937,1
6,100005,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.82124933257242116,0
6,100005,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.8212493325724588,0.82124933257242116,0
6,100005,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.82124933257242116,0.82124933257242116,0
6,100005,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.82124933257242116,0.82124933257242116,0
6,100005,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.82088686596732319,0
6,100005,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.8212493325724588,0.82088686596732319,0
6,100005,Direct_Pointing_50pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.82088686596732319,0.82088686596732319,0
6,100005,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.82088686596732319,0.82088686596732319,0
6,100005,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
6,100005,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.8212493325724588,0,0
6,100005,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0.67445046625070904,0.67445046625070904,1
6,100005,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.33511659594801085,0.67445046625062699,1
6,100005,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
6,100005,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.8212493325724588,0,0
6,100005,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0.67445046625070904,0.67445046625070904,1
6,100005,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.33511659594801085,0.67445046625062699,1
6,100005,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.82124925362619261,0
6,100005,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.8212493325724588,0.82124925362619261,0
6,100005,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.82124925362619261,0.82124925362619261,0
6,100005,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.82124925362619261,0.82124925362619261,0
6,100005,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
6,100005,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.8212493325724588,0,0
6,100005,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,0.67445046625070904,0.67445046625070904,1
6,100005,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.33511659594801085,0.67445046625062699,1
6,100005,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.67445046625062699,1
6,100005,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.67445046625070904,0.67445046605574577,1
6,100005,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay1_Mars,0.67445046625070904,0.67445046625070904,1
6,100005,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.67445046625062699,0.67445046625062699,1
7,100006,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.95883310778721909,0
7,100006,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.95888382929065541,0.95883310778721909,0
7,100006,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.95883310778721909,0.95883310778721909,0
7,100006,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.95883310778721909,0.95883310778721909,0
7,100006,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
7,100006,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.95888382929065541,0,0
7,100006,Direct_Pointing_50pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0.91944948895804801,0.91944948895804801,1
7,100006,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45733849536570348,0.91934842726069588,1
7,100006,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
7,100006,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.95888382929065541,0,0
7,100006,Direct_Pointing_25pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0.91944948895804801,0.91944948895804801,1
7,100006,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45733849536570348,0.91934842726069588,1
7,100006,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
7,100006,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.95888382929065541,0,0
7,100006,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay1_Mars,0.91944948895804801,0.91944948895804801,1
7,100006,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45733849536570348,0.91934842726069588,1
7,100006,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.77790526054703346,0
7,100006,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.95888382929065541,0.77790526054703346,0
7,100006,Direct_Background_16,B3_Physical_Success,Earth_Relay1_Mars,0.91944948895804801,0.91944948895804801,1
7,100006,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.77790526054703346,0.77790526054703346,0
7,100006,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0,0
7,100006,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.95888382929065541,0,0
7,100006,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Earth_Relay1_Mars,0.91944948895804801,0.91944948895804801,1
7,100006,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.45733849536570348,0.91934842726069588,1
7,100006,Direct_Hard_Obstruction,B1_Shortest_Delay,Earth_Relay2_Mars,1,0.91934842726069588,1
7,100006,Direct_Hard_Obstruction,B2_Contact_Aware,Earth_Relay0_Mars,0.91945819807511076,0.91923495310919445,1
7,100006,Direct_Hard_Obstruction,B3_Physical_Success,Earth_Relay1_Mars,0.91944948895804801,0.91944948895804801,1
7,100006,Direct_Hard_Obstruction,B4_Physical_Multiobjective,Earth_Relay2_Mars,0.91934842726069588,0.91934842726069588,1
8,100007,Control,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.83805862678805021,0
8,100007,Control,B2_Contact_Aware,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Control,B3_Physical_Success,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Control,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Pointing_50pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.83805862678805021,0
8,100007,Direct_Pointing_50pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Pointing_50pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Pointing_50pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Pointing_25pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.83805862675454057,0
8,100007,Direct_Pointing_25pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.83805862678805021,0.83805862675454057,0
8,100007,Direct_Pointing_25pct_Power,B3_Physical_Success,Direct_Earth_to_Mars,0.83805862675454057,0.83805862675454057,0
8,100007,Direct_Pointing_25pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.83805862675454057,0.83805862675454057,0
8,100007,Direct_Pointing_10pct_Power,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.61519107946942941,0
8,100007,Direct_Pointing_10pct_Power,B2_Contact_Aware,Direct_Earth_to_Mars,0.83805862678805021,0.61519107946942941,0
8,100007,Direct_Pointing_10pct_Power,B3_Physical_Success,Earth_Relay0_Mars,0.70234226193387239,0.70234226193387239,1
8,100007,Direct_Pointing_10pct_Power,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.61519107946942941,0.61519107946942941,0
8,100007,Direct_Background_16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.83805862678805021,0
8,100007,Direct_Background_16,B2_Contact_Aware,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Background_16,B3_Physical_Success,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Background_16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.83805862678805021,0.83805862678805021,0
8,100007,Direct_Combined_25pctPower_BG16,B1_Shortest_Delay,Direct_Earth_to_Mars,1,0.83804805867743359,0
8,100007,Direct_Combined_25pctPower_BG16,B2_Contact_Aware,Direct_Earth_to_Mars,0.83805862678805021,0.83804805867743359,0
8,100007,Direct_Combined_25pctPower_BG16,B3_Physical_Success,Direct_Earth_to_Mars,0.83804805867743359,0.83804805867743359,0
8,100007,Direct_Combined_25pctPower_BG16,B4_Physical_Multiobjective,Direct_Earth_to_Mars,0.83804805867743359,0.83804805867743359,0
