Trial,Seed,Route_Name,Route_Available,Hop_Number,Hop_Distance_m,Optical_Degradation_Factor,Background_Photons_Per_Slot,Diffraction_Efficiency,Received_Power_W,Photon_Flux_Per_s,Signal_Photons_Per_Slot,PPM_Order,Packet_Bits,Conservative_Uncoded_SER,Uncoded_Packet_Success_Probability
3,100002,Earth_Relay2_Mars,1,2,999999999.99999499,0.92420181873497187,0.10000000000000001,4.1080559421808356e-10,3.0373382185828288e-09,23699642395.681961,23699.64239568196,16,8192,0,1
3,100002,Direct_Earth_to_Mars,1,1,342263292735.57843,0.92420181873497187,1,3.506837974404793e-15,2.5928208271630193e-14,202311.7676651463,0.20231176766514627,16,8192,0.94594112747656867,0
3,100002,Earth_Relay0_Mars,1,1,322524825857.26129,0.92420181873497187,1,3.9492083829785388e-15,2.9198924560897297e-14,227832.40476743429,0.22783240476743427,16,8192,0.94311665321650207,0
3,100002,Earth_Relay0_Mars,1,2,72775491428.33342,0.92420181873497187,1,7.7565046202103147e-14,5.7348605416196678e-13,4474778.0538220191,4.4747780538220185,16,8192,0.22124659700377958,3.8646739520080493e-223
3,100002,Earth_Relay1_Mars,1,1,354551195370.42371,0.92420181873497187,1,3.2679728603254986e-15,2.4162131688714833e-14,188531.48359852331,0.18853148359852329,16,8192,0.94743584444874074,0
3,100002,Earth_Relay1_Mars,1,2,74890342951.873886,0.92420181873497187,1,7.3246134523090163e-14,5.4155368593237062e-13,4225617.2250218047,4.2256172250218045,16,8192,0.25020125905301616,7.7047681703792823e-257
3,100002,Earth_Relay2_Mars,1,1,343215067205.9176,0.92420181873497187,1,3.4874152203542323e-15,2.5784603914683235e-14,201191.25632884449,0.20119125632884449,16,8192,0.94606346555873577,0
3,100002,Earth_Relay2_Mars,1,2,999999999.99999499,0.92420181873497187,1,4.1080559421808356e-10,3.0373382185828288e-09,23699642395.681961,23699.64239568196,16,8192,0,1
3,100002,Direct_Earth_to_Mars,1,1,342263292735.57843,0.92420181873497187,4,3.506837974404793e-15,2.5928208271630193e-14,202311.7676651463,0.20231176766514627,16,8192,0.94614704064386546,0
3,100002,Earth_Relay0_Mars,1,1,322524825857.26129,0.92420181873497187,4,3.9492083829785388e-15,2.9198924560897297e-14,227832.40476743429,0.22783240476743427,16,8192,0.94477147142449525,0
3,100002,Earth_Relay0_Mars,1,2,72775491428.33342,0.92420181873497187,4,7.7565046202103147e-14,5.7348605416196678e-13,4474778.0538220191,4.4747780538220185,16,8192,0.49169768643774692,0
3,100002,Earth_Relay1_Mars,1,1,354551195370.42371,0.92420181873497187,4,3.2679728603254986e-15,2.4162131688714833e-14,188531.48359852331,0.18853148359852329,16,8192,0.94688070878421704,0
3,100002,Earth_Relay1_Mars,1,2,74890342951.873886,0.92420181873497187,4,7.3246134523090163e-14,5.4155368593237062e-13,4225617.2250218047,4.2256172250218045,16,8192,0.52274026584063971,0
3,100002,Earth_Relay2_Mars,1,1,343215067205.9176,0.92420181873497187,4,3.4874152203542323e-15,2.5784603914683235e-14,201191.25632884449,0.20119125632884449,16,8192,0.94620693507205711,0
3,100002,Earth_Relay2_Mars,1,2,999999999.99999499,0.92420181873497187,4,4.1080559421808356e-10,3.0373382185828288e-09,23699642395.681961,23699.64239568196,16,8192,0,1
4,100003,Direct_Earth_to_Mars,1,1,299027805405.45294,0.94224965905718827,0,4.5942349572799149e-15,3.4631330577004926e-14,270220.20311738981,0.27022020311738981,16,8192,0.76321141429900208,0
4,100003,Earth_Relay0_Mars,1,1,264163591626.39374,0.94224965905718827,0,5.8869510897794366e-15,4.4375821257848133e-14,346254.19335631444,0.34625419335631441,16,8192,0.70733266498853187,0
4,100003,Earth_Relay0_Mars,1,2,77064450359.955627,0.94224965905718827,0,6.9171656874529952e-14,5.2141576085157322e-13,4068485.687912771,4.0684856879127711,16,8192,0.017103268593637977,4.5306491697600911e-16
4,100003,Earth_Relay1_Mars,1,1,325941309523.45703,0.94224965905718827,0,3.8668518817980583e-15,2.9148318937990939e-14,227437.5408834079,0.2274375408834079,16,8192,0.79657217313799,0
4,100003,Earth_Relay1_Mars,1,2,81145132441.356735,0.94224965905718827,0,6.2389485212099426e-14,4.7029176935883343e-13,3669577.0945908385,3.6695770945908386,16,8192,0.025487246362169591,1.0885682902158064e-23
4,100003,Earth_Relay2_Mars,1,1,299917588751.40015,0.94224965905718827,0,4.5670154140695905e-15,3.4426149734527963e-14,268619.2248123074,0.26861922481230738,16,8192,0.76443427784329165,0
4,100003,Earth_Relay2_Mars,1,2,999999999.99998736,0.94224965905718827,0,4.1080559421808987e-10,3.0966514487262466e-09,24162449710.03751,24162.449710037508,16,8192,0,1
4,100003,Direct_Earth_to_Mars,1,1,299027805405.45294,0.94224965905718827,0.01,4.5942349572799149e-15,3.4631330577004926e-14,270220.20311738981,0.27022020311738981,16,8192,0.78513302295782139,0
4,100003,Earth_Relay0_Mars,1,1,264163591626.39374,0.94224965905718827,0.01,5.8869510897794366e-15,4.4375821257848133e-14,346254.19335631444,0.34625419335631441,16,8192,0.73507867301270702,0
4,100003,Earth_Relay0_Mars,1,2,77064450359.955627,0.94224965905718827,0.01,6.9171656874529952e-14,5.2141576085157322e-13,4068485.687912771,4.0684856879127711,16,8192,0.026658147481005923,9.2797211345102467e-25
4,100003,Earth_Relay1_Mars,1,1,325941309523.45703,0.94224965905718827,0.01,3.8668518817980583e-15,2.9148318937990939e-14,227437.5408834079,0.2274375408834079,16,8192,0.81474572510501275,0
4,100003,Earth_Relay1_Mars,1,2,81145132441.356735,0.94224965905718827,0.01,6.2389485212099426e-14,4.7029176935883343e-13,3669577.0945908385,3.6695770945908386,16,8192,0.03829453142981476,1.8629075128038423e-35
