Configuration_ID,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,Packet_Bits,PPM_Order,Background_Photons_Per_Slot,Photon_Gain_Factor,Route_Name,Total_Worlds,Available_Worlds,Certified_Worlds,All_Available_Worlds_Certified,Minimum_Scaled_Bottleneck_Photons_Per_Slot,Worst_Log10_Route_Packet_Failure_Upper_Bound,Mean_Route_Packet_Success_Lower_Bound_Available
31,10,0.5,0.5,500000,4096,16,4,78.125,Earth_Relay0_Mars,100,94,39,0,10.861958572848446,0,0.49927393995183722
31,10,0.5,0.5,500000,4096,16,4,78.125,Earth_Relay1_Mars,100,91,31,0,11.860995556151044,0,0.4462031816218896
31,10,0.5,0.5,500000,4096,16,4,78.125,Earth_Relay2_Mars,100,92,39,0,11.028708284427665,0,0.48419269146332211
32,10,0.5,0.5,500000,8192,16,4,78.125,Direct_Earth_to_Mars,100,100,40,0,11.084991059869214,0,0.46585900620767867
32,10,0.5,0.5,500000,8192,16,4,78.125,Earth_Relay0_Mars,100,94,38,0,10.861958572848446,0,0.47748878634418895
32,10,0.5,0.5,500000,8192,16,4,78.125,Earth_Relay1_Mars,100,91,31,0,11.860995556151044,0,0.42959022865105706
32,10,0.5,0.5,500000,8192,16,4,78.125,Earth_Relay2_Mars,100,92,39,0,11.028708284427665,0,0.47925494814403541
33,10,0.5,0.5,1000000,1024,16,4,39.0625,Direct_Earth_to_Mars,100,100,28,0,5.542495529934607,0,0.30884740530635291
33,10,0.5,0.5,1000000,1024,16,4,39.0625,Earth_Relay0_Mars,100,94,29,0,5.4309792864242228,0,0.3838549317894297
33,10,0.5,0.5,1000000,1024,16,4,39.0625,Earth_Relay1_Mars,100,91,17,0,5.9304977780755221,0,0.27283877710899568
33,10,0.5,0.5,1000000,1024,16,4,39.0625,Earth_Relay2_Mars,100,92,28,0,5.5143541422138327,0,0.32038889543476867
34,10,0.5,0.5,1000000,2048,16,4,39.0625,Direct_Earth_to_Mars,100,100,28,0,5.542495529934607,0,0.29528454153529765
34,10,0.5,0.5,1000000,2048,16,4,39.0625,Earth_Relay0_Mars,100,94,28,0,5.4309792864242228,0,0.37409284230226358
34,10,0.5,0.5,1000000,2048,16,4,39.0625,Earth_Relay1_Mars,100,91,15,0,5.9304977780755221,0,0.25619914252466242
34,10,0.5,0.5,1000000,2048,16,4,39.0625,Earth_Relay2_Mars,100,92,28,0,5.5143541422138327,0,0.31469083434779827
35,10,0.5,0.5,1000000,4096,16,4,39.0625,Direct_Earth_to_Mars,100,100,28,0,5.542495529934607,0,0.2905690830705952
35,10,0.5,0.5,1000000,4096,16,4,39.0625,Earth_Relay0_Mars,100,94,26,0,5.4309792864242228,0,0.3638197558553562
35,10,0.5,0.5,1000000,4096,16,4,39.0625,Earth_Relay1_Mars,100,91,15,0,5.9304977780755221,0,0.24657400899212614
35,10,0.5,0.5,1000000,4096,16,4,39.0625,Earth_Relay2_Mars,100,92,28,0,5.5143541422138327,0,0.3099614257861002
36,10,0.5,0.5,1000000,8192,16,4,39.0625,Direct_Earth_to_Mars,100,100,28,0,5.542495529934607,0,0.28573411542344429
36,10,0.5,0.5,1000000,8192,16,4,39.0625,Earth_Relay0_Mars,100,94,25,0,5.4309792864242228,0,0.34971359160771903
36,10,0.5,0.5,1000000,8192,16,4,39.0625,Earth_Relay1_Mars,100,91,15,0,5.9304977780755221,0,0.23518857946299998
36,10,0.5,0.5,1000000,8192,16,4,39.0625,Earth_Relay2_Mars,100,92,26,0,5.5143541422138327,0,0.30470546026785256
37,10,0.59999999999999998,0.59999999999999998,250000,1024,16,4,323.99999999999989,Direct_Earth_to_Mars,100,100,100,1,45.971674923489594,-7.5750463077115908,0.99999999886921853
37,10,0.59999999999999998,0.59999999999999998,250000,1024,16,4,323.99999999999989,Earth_Relay0_Mars,100,94,94,1,45.046714593317056,-6.9864935585104142,0.9999999950657138
37,10,0.59999999999999998,0.59999999999999998,250000,1024,16,4,323.99999999999989,Earth_Relay1_Mars,100,91,91,1,49.189920770469591,-8.2824204216098085,0.9999999998357133
37,10,0.59999999999999998,0.59999999999999998,250000,1024,16,4,323.99999999999989,Earth_Relay2_Mars,100,92,92,1,45.738258997178399,-7.2013588766356742,0.99999999714107957
38,10,0.59999999999999998,0.59999999999999998,250000,2048,16,4,323.99999999999989,Direct_Earth_to_Mars,100,100,100,1,45.971674923489594,-7.2740163120476105,0.99999999773843651
38,10,0.59999999999999998,0.59999999999999998,250000,2048,16,4,323.99999999999989,Earth_Relay0_Mars,100,94,94,1,45.046714593317056,-6.6854635628464329,0.99999999013142771
38,10,0.59999999999999998,0.59999999999999998,250000,2048,16,4,323.99999999999989,Earth_Relay1_Mars,100,91,91,1,49.189920770469591,-7.9813904259458281,0.99999999967142694
38,10,0.59999999999999998,0.59999999999999998,250000,2048,16,4,323.99999999999989,Earth_Relay2_Mars,100,92,92,1,45.738258997178399,-6.9003288809716938,0.99999999428215924
39,10,0.59999999999999998,0.59999999999999998,250000,4096,16,4,323.99999999999989,Direct_Earth_to_Mars,100,100,100,1,45.971674923489594,-6.9729863163836283,0.99999999547687313
39,10,0.59999999999999998,0.59999999999999998,250000,4096,16,4,323.99999999999989,Earth_Relay0_Mars,100,94,94,1,45.046714593317056,-6.3844335671824517,0.99999998026285519
39,10,0.59999999999999998,0.59999999999999998,250000,4096,16,4,323.99999999999989,Earth_Relay1_Mars,100,91,91,1,49.189920770469591,-7.680360430281846,0.99999999934285388
39,10,0.59999999999999998,0.59999999999999998,250000,4096,16,4,323.99999999999989,Earth_Relay2_Mars,100,92,92,1,45.738258997178399,-6.5992988853077117,0.99999998856431827
40,10,0.59999999999999998,0.59999999999999998,250000,8192,16,4,323.99999999999989,Direct_Earth_to_Mars,100,100,100,1,45.971674923489594,-6.6719563207196479,0.99999999095374659
40,10,0.59999999999999998,0.59999999999999998,250000,8192,16,4,323.99999999999989,Earth_Relay0_Mars,100,94,94,1,45.046714593317056,-6.0834035715184713,0.99999996052571061
40,10,0.59999999999999998,0.59999999999999998,250000,8192,16,4,323.99999999999989,Earth_Relay1_Mars,100,91,91,1,49.189920770469591,-7.3793304346178656,0.99999999868570744
40,10,0.59999999999999998,0.59999999999999998,250000,8192,16,4,323.99999999999989,Earth_Relay2_Mars,100,92,92,1,45.738258997178399,-6.2982688896437313,0.99999997712863664
41,10,0.59999999999999998,0.59999999999999998,500000,1024,16,4,161.99999999999994,Direct_Earth_to_Mars,100,100,65,0,22.985837461744797,-0.84837342594632348,0.98766320486816328
41,10,0.59999999999999998,0.59999999999999998,500000,1024,16,4,161.99999999999994,Earth_Relay0_Mars,100,94,60,0,22.523357296658528,-0.4241535070462979,0.9679316281433058
41,10,0.59999999999999998,0.59999999999999998,500000,1024,16,4,161.99999999999994,Earth_Relay1_Mars,100,91,62,0,24.594960385234796,-0.98102051762098996,0.99192128668362778
41,10,0.59999999999999998,0.59999999999999998,500000,1024,16,4,161.99999999999994,Earth_Relay2_Mars,100,92,60,0,22.869129498589199,-0.51619297465422953,0.97312600918507075
42,10,0.59999999999999998,0.59999999999999998,500000,2048,16,4,161.99999999999994,Direct_Earth_to_Mars,100,100,65,0,22.985837461744797,-0.54734343028234234,0.97532640973632556
42,10,0.59999999999999998,0.59999999999999998,500000,2048,16,4,161.99999999999994,Earth_Relay0_Mars,100,94,60,0,22.523357296658528,-0.12312351138231671,0.93586325628661171
42,10,0.59999999999999998,0.59999999999999998,500000,2048,16,4,161.99999999999994,Earth_Relay1_Mars,100,91,60,0,24.594960385234796,-0.67999052195700882,0.98384257336725589
42,10,0.59999999999999998,0.59999999999999998,500000,2048,16,4,161.99999999999994,Earth_Relay2_Mars,100,92,59,0,22.869129498589199,-0.21516297899024833,0.94625201837014139
