Trial,Seed,Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,Route_Available,Hop_Count,Total_Route_Distance_m,Bottleneck_Signal_Photons_Per_Slot,Phase12B_Probability,Log10_Symbol_Error_Upper_Bound,Log10_Route_Packet_Failure_Upper_Bound,Route_Packet_Success_Lower_Bound,Double_Precision_Saturated
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,1,2,256781830927.78528,7.1153454896910775,2.5553138868469793e-06,-1.2631157484145517,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,0,2,346483690510.33167,3.2799059372097257,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,1,2,228003438045.67664,4.5551182312426537,1.4508718445718674e-47,-0.29640576372066568,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Direct_Earth_to_Mars,1,1,226224890899.86777,4.5865248254649735,1.9499692189632504e-209,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay0_Mars,1,2,256781830927.78528,7.1153454896910775,3.0715145092437331e-47,-0.30826491419707908,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay1_Mars,0,2,346483690510.33167,3.2799059372097257,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,1,Earth_Relay2_Mars,1,2,228003438045.67664,4.5551182312426537,3.3273257203559265e-213,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Direct_Earth_to_Mars,1,1,226224890899.86777,4.5865248254649735,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay0_Mars,1,2,256781830927.78528,7.1153454896910775,6.6876039048836995e-223,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay1_Mars,0,2,346483690510.33167,3.2799059372097257,0,0,0,0,0
1,100000,Transmit_Power,Power_100W,100,0.20000000000000001,0.20000000000000001,1000000,16,8192,4,Earth_Relay2_Mars,1,2,228003438045.67664,4.5551182312426537,0,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Direct_Earth_to_Mars,1,1,226224890899.86777,2.3219281928916429,1.513147453341295e-92,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Earth_Relay0_Mars,1,2,256781830927.78528,3.6021436541561069,2.5859972413173978e-25,-0.38829985296713132,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Earth_Relay1_Mars,0,2,346483690510.33167,1.6604523807124234,0,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0,Earth_Relay2_Mars,1,2,228003438045.67664,2.3060286045665941,4.249306983917568e-94,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Direct_Earth_to_Mars,1,1,226224890899.86777,2.3219281928916429,2.0524922865507907e-123,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Earth_Relay0_Mars,1,2,256781830927.78528,3.6021436541561069,1.0860294035675344e-37,-0.23190484795531688,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Earth_Relay1_Mars,0,2,346483690510.33167,1.6604523807124234,0,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.01,Earth_Relay2_Mars,1,2,228003438045.67664,2.3060286045665941,2.6780767639727074e-125,0,0,0,0
1,100000,Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,1,1,226224890899.86777,2.3219281928916429,2.0221855342896803e-285,0,0,0,0
