Experiment_Family,Design_Name,Transmit_Power_W,TX_Diameter_m,RX_Diameter_m,Slot_Rate_Hz,PPM_Order,Packet_Bits,Background_Photons_Per_Slot,Route_Name,N_Worlds,Mean_End_To_End_Packet_Success,Minimum,Maximum,Worlds_At_Least_50pct,Worlds_At_Least_90pct,Worlds_At_Least_99pct,Worlds_At_Least_99_9pct
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,1,Earth_Relay2_Mars,100,0.084583014685098962,0,0.99989078545573817,8,7,5,3
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,4,Direct_Earth_to_Mars,100,0.051437095118873344,0,0.98601719205521754,5,3,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,4,Earth_Relay0_Mars,100,0.0020927223496243061,0,0.076184744406664631,0,0,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,4,Earth_Relay1_Mars,100,2.914037647935467e-26,0,2.9140375479914348e-24,0,0,0,0
Aperture,TX_RX_30cm,10,0.29999999999999999,0.29999999999999999,1000000,16,8192,4,Earth_Relay2_Mars,100,0.047718142509803801,0,0.97728715077165573,5,3,0,0
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Direct_Earth_to_Mars,100,0.62695835463714389,0.00032320159786401888,1,62,54,47,45
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Earth_Relay0_Mars,100,0.60036227824242672,0,1,60,55,48,39
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Earth_Relay1_Mars,100,0.59488993126778611,0,1,60,46,42,33
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0,Earth_Relay2_Mars,100,0.58963038003650547,0,1,58,50,45,42
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Direct_Earth_to_Mars,100,0.58067324666762532,6.6403718963184817e-07,1,59,47,46,43
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Earth_Relay0_Mars,100,0.5650364007983999,0,1,57,50,44,39
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Earth_Relay1_Mars,100,0.53052225268386832,0,1,52,46,39,32
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.01,Earth_Relay2_Mars,100,0.548126587945305,0,1,55,45,44,41
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Direct_Earth_to_Mars,100,0.50901060264989129,1.4213690687281657e-21,1,51,46,43,39
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Earth_Relay0_Mars,100,0.5160453516376744,0,1,53,45,39,38
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Earth_Relay1_Mars,100,0.45052586092824243,0,1,46,39,32,31
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,0.10000000000000001,Earth_Relay2_Mars,100,0.4816191821538387,0,1,47,44,41,39
Aperture,TX_RX_50cm,10,0.5,0.5,1000000,16,8192,1,Direct_Earth_to_Mars,100,0.43829030990039963,8.5553266788651027e-121,1,45,40,33,29
