Relay_Count,Trial,Hop_Count,Distance_Per_Hop_m,Transmit_Power_W,Atmosphere_Efficiency,Receiver_Efficiency,Bottleneck_Rate_bps,Weakest_Received_Power_W,Minimum_Photons_Per_Packet,Propagation_Delay_s,Transmission_Delay_s,Processing_Delay_s,Total_Delay_s,Packet_Delivered
1,48,2,2.93477e+07,9.55735,0.908118,0.81115,1.31005e+14,3.35791e-06,1638.4,0.195782,1.25064e-10,0.005,0.200782,1
1,49,2,2.93477e+07,10.9704,0.892377,0.80419,1.46499e+14,3.75505e-06,1638.4,0.195782,1.11837e-10,0.005,0.200782,1
1,50,2,2.93477e+07,10.4647,0.897133,0.771065,1.34704e+14,3.45272e-06,1638.4,0.195782,1.2163e-10,0.005,0.200782,1
1,51,2,2.93477e+07,9.7694,0.919938,0.814864,1.36276e+14,3.49301e-06,1638.4,0.195782,1.20227e-10,0.005,0.200782,1
1,52,2,2.93477e+07,9.21284,0.925474,0.772903,1.22628e+14,3.14319e-06,1638.4,0.195782,1.33608e-10,0.005,0.200782,1
1,53,2,2.93477e+07,11.073,0.933284,0.808867,1.55547e+14,3.98697e-06,1638.4,0.195782,1.05331e-10,0.005,0.200782,1
1,54,2,2.93477e+07,8.77715,0.939794,0.759229,1.16537e+14,2.98708e-06,1638.4,0.195782,1.4059e-10,0.005,0.200782,1
1,55,2,2.93477e+07,9.46156,0.878151,0.847626,1.31052e+14,3.35911e-06,1638.4,0.195782,1.25019e-10,0.005,0.200782,1
1,56,2,2.93477e+07,8.77803,0.880276,0.802031,1.15322e+14,2.95593e-06,1638.4,0.195782,1.42071e-10,0.005,0.200782,1
1,57,2,2.93477e+07,10.8023,0.890872,0.75998,1.36095e+14,3.48837e-06,1638.4,0.195782,1.20387e-10,0.005,0.200782,1
1,58,2,2.93477e+07,11.9586,0.887138,0.834942,1.64829e+14,4.22489e-06,1638.4,0.195782,9.94e-11,0.005,0.200782,1
1,59,2,2.93477e+07,10.0644,0.875298,0.846374,1.38743e+14,3.55626e-06,1638.4,0.195782,1.18089e-10,0.005,0.200782,1
1,60,2,2.93477e+07,8.7763,0.927075,0.78776,1.19269e+14,3.05708e-06,1638.4,0.195782,1.37371e-10,0.005,0.200782,1
1,61,2,2.93477e+07,8.36066,0.921135,0.791562,1.13437e+14,2.90761e-06,1638.4,0.195782,1.44433e-10,0.005,0.200782,1
1,62,2,2.93477e+07,10.3677,0.869183,0.766118,1.28468e+14,3.29288e-06,1638.4,0.195782,1.27534e-10,0.005,0.200782,1
1,63,2,2.93477e+07,8.42855,0.917118,0.824841,1.18646e+14,3.04114e-06,1638.4,0.195782,1.38091e-10,0.005,0.200782,1
1,64,2,2.93477e+07,10.7815,0.925599,0.773653,1.43667e+14,3.68246e-06,1638.4,0.195782,1.14042e-10,0.005,0.200782,1
1,65,2,2.93477e+07,8.1194,0.900267,0.801955,1.09082e+14,2.79597e-06,1638.4,0.195782,1.502e-10,0.005,0.200782,1
1,66,2,2.93477e+07,8.7982,0.856723,0.778515,1.09196e+14,2.79891e-06,1638.4,0.195782,1.50042e-10,0.005,0.200782,1
1,67,2,2.93477e+07,9.92939,0.897128,0.810986,1.3443e+14,3.4457e-06,1638.4,0.195782,1.21877e-10,0.005,0.200782,1
1,68,2,2.93477e+07,11.5672,0.898526,0.793848,1.53533e+14,3.93535e-06,1638.4,0.195782,1.06713e-10,0.005,0.200782,1
1,69,2,2.93477e+07,9.54373,0.926156,0.817373,1.3444e+14,3.44596e-06,1638.4,0.195782,1.21868e-10,0.005,0.200782,1
1,70,2,2.93477e+07,10.343,0.93093,0.763806,1.36852e+14,3.50778e-06,1638.4,0.195782,1.1972e-10,0.005,0.200782,1
1,71,2,2.93477e+07,9.28033,0.941944,0.796105,1.29499e+14,3.3193e-06,1638.4,0.195782,1.26519e-10,0.005,0.200782,1
1,72,2,2.93477e+07,8.93167,0.858031,0.800546,1.14164e+14,2.92624e-06,1638.4,0.195782,1.43513e-10,0.005,0.200782,1
